shrid2,connected_villages,num_connected_villages,num_connected_roads,road_index
11-24-468-03722-506476,"['11-24-468-03727-506925', '11-24-468-03727-506926', '11-24-468-03722-506474', '11-24-468-03722-506475', '11-24-468-03722-506471', '11-24-468-03722-506470']",6,2,"[1990, 1991]"
11-24-468-03723-506570,"['11-24-468-03723-506571', '11-24-468-03723-506589']",2,1,[2416]
11-24-468-03723-506622,"['11-24-468-03723-506621', '11-24-468-03723-506620']",2,1,[1995]
11-24-468-03724-506629,[],0,1,[337]
11-24-468-03724-506638,[],0,1,[1073]
11-24-468-03724-506688,"['11-24-468-03724-506691', '11-24-468-03724-506690']",2,1,[673]
11-24-468-03725-506699,"['11-24-468-03725-506694', '11-24-468-03725-506700', '11-24-468-03725-506696']",3,1,[1775]
11-24-468-03725-506702,[],0,1,[20]
11-24-468-03725-506713,['11-24-468-03725-506715'],1,1,[2326]
11-24-468-03726-506817,"['11-24-468-03726-506849', '11-24-468-03726-506842', '11-24-468-03726-506843', '11-24-468-03726-506841']",4,3,"[574, 1300, 1694]"
11-24-468-03728-507064,['11-24-468-03728-507063'],1,1,[1979]
11-24-468-03728-507096,"['11-24-468-03728-507082', '11-24-468-03728-507083', '11-24-468-03728-507084']",3,6,"[426, 767, 768, 1057, 1228, 2275]"
11-24-468-03728-507171,"['11-24-468-03728-507173', '11-24-468-03728-507174', '11-24-468-03728-507172']",3,1,[1970]
11-24-468-03728-507172,"['11-24-468-03728-507175', '11-24-468-03728-507176', '11-24-468-03728-507174', '11-24-468-03728-507171', '11-24-468-03728-507173']",5,3,"[766, 1060, 1970]"
11-24-468-03728-507180,['11-24-468-03728-507162'],1,1,[2264]
11-24-468-03728-507192,"['11-24-468-03729-507212', '11-24-468-03729-507211']",2,1,[1058]
11-24-468-03729-507270,"['11-24-468-03729-507278', '11-24-468-03729-507271']",2,1,[2415]
11-24-468-03730-507334,['11-24-468-03730-507314'],1,2,"[1071, 1072]"
11-24-469-03732-507453,[],0,1,[959]
11-24-469-03733-507592,['11-24-469-03733-507578'],1,1,[385]
11-24-469-03733-507605,[],0,1,[616]
11-24-469-03734-507647,"['11-24-469-03734-507632', '11-24-469-03734-507654']",2,2,"[731, 2312]"
11-24-469-03734-507652,"['11-24-469-03734-507648', '11-24-469-03734-507632', '11-24-469-03734-507631']",3,1,[1096]
11-24-469-03734-507664,"['11-24-469-03735-507699', '11-24-469-03734-507684', '11-24-469-03735-507700']",3,1,[1850]
11-24-469-03734-507686,"['11-24-469-03734-507665', '11-24-469-03734-507662', '11-24-469-03734-507683']",3,2,"[822, 1097]"
11-24-469-03735-507701,"['11-24-469-03735-507713', '11-24-469-03735-507705', '11-24-469-03735-507702', '11-24-469-03735-507718', '11-24-469-03735-507711', '11-24-469-03735-507704', '11-24-469-03735-507717', '11-24-469-03735-507703']",8,3,"[946, 1744, 1846]"
11-24-469-03735-507711,"['11-24-469-03735-507701', '11-24-469-03735-507718', '11-24-469-03735-507717', '11-24-469-03735-507705']",4,1,[1846]
11-24-469-03735-507715,"['11-24-469-03735-507716', '11-24-469-03735-507724']",2,1,[787]
11-24-469-03736-507783,"['11-24-469-03736-507767', '11-24-469-03736-507782']",2,2,"[22, 935]"
11-24-469-03736-507810,['11-24-469-03736-507813'],1,1,[1628]
11-24-469-03738-508045,[],0,1,[1863]
11-24-469-03739-508113,"['11-24-469-03735-507737', '11-24-469-03739-508114', '11-24-469-03735-507735', '11-24-469-03735-507728', '11-24-469-03736-507763']",5,1,[1847]
11-24-469-03740-508300,['11-24-469-03740-508301'],1,3,"[951, 1851, 1855]"
11-24-469-03741-508410,[],0,1,[1861]
11-24-469-03741-508414,[],0,1,[1860]
11-24-469-03741-508427,"['11-24-469-03740-508351', '11-24-469-03740-508353', '11-24-469-03740-508352', '11-24-469-03740-508354']",4,1,[1849]
11-24-469-03741-508435,"['11-24-469-03741-508439', '11-24-469-03741-508440']",2,1,[1852]
11-24-469-03743-508543,[],0,1,[1122]
11-24-469-03743-508547,[],0,1,[24]
11-24-470-03744-508670,"['11-24-470-03744-508667', '11-24-470-03744-508655']",2,1,[2045]
11-24-470-03745-508714,['11-24-470-03745-508712'],1,1,[2265]
11-24-470-03746-508746,[],0,1,[1569]
11-24-470-03747-508821,"['11-24-470-03747-508820', '11-24-470-03747-508848', '11-24-470-03747-508863', '11-24-470-03747-508850']",4,1,[102]
11-24-470-03747-508844,"['11-24-470-03747-508845', '11-24-470-03747-508867']",2,1,[59]
11-24-470-03747-508848,"['11-24-470-03747-508820', '11-24-470-03747-508821', '11-24-470-03747-508863', '11-24-470-03747-508850']",4,1,[102]
11-24-470-03747-508863,"['11-24-470-03747-508820', '11-24-470-03747-508821', '11-24-470-03747-508848', '11-24-470-03747-508850']",4,1,[102]
11-24-470-03747-508880,['11-24-470-03747-508909'],1,1,[758]
11-24-470-03747-508898,"['11-24-470-03747-508899', '11-24-470-03747-508900']",2,1,[2057]
11-24-470-03747-508899,"['11-24-470-03747-508898', '11-24-470-03747-508900']",2,1,[2057]
11-24-471-03752-509217,['11-24-471-03752-509216'],1,2,"[302, 2266]"
11-24-471-03752-509220,['11-24-471-03752-802459'],1,2,"[1080, 1098]"
11-24-471-03753-509267,[],0,1,[931]
11-24-471-03754-509328,[],0,1,[1998]
11-24-471-03755-509338,[],0,1,[11]
11-24-471-03755-509341,[],0,2,"[735, 1999]"
11-24-471-03759-509623,[],0,1,[643]
11-24-471-03759-509670,[],0,1,[1076]
11-24-471-03759-509695,['11-24-471-03759-509691'],1,4,"[330, 1077, 1078, 2370]"
11-24-472-03760-509764,"['11-24-472-03760-509748', '11-24-472-03760-509766', '11-24-472-03760-509781', '11-24-472-03760-509772', '11-24-472-03760-509765', '11-24-472-03760-509773', '11-24-472-03760-509767']",7,2,"[1151, 2225]"
11-24-472-03760-509773,"['11-24-472-03760-509748', '11-24-472-03760-509766', '11-24-472-03760-509781', '11-24-472-03760-509772', '11-24-472-03760-509764', '11-24-472-03760-509765', '11-24-472-03760-509767']",7,3,"[1151, 1761, 2225]"
11-24-472-03760-509775,['11-24-472-03760-509778'],1,1,[1987]
11-24-472-03760-509778,['11-24-472-03760-509775'],1,1,[1987]
11-24-472-03760-509781,"['11-24-472-03760-509764', '11-24-472-03760-509773']",2,1,[1151]
11-24-472-03760-509784,['11-24-472-03760-509790'],1,1,[2240]
11-24-472-03760-509790,['11-24-472-03760-509784'],1,1,[2240]
11-24-472-03760-509799,"['11-24-472-03760-509791', '11-24-472-03760-509800', '11-24-472-03760-509789', '11-24-472-03760-509804']",4,2,"[2082, 2083]"
11-24-472-03760-509818,"['11-24-472-03760-509833', '11-24-472-03760-509832']",2,2,"[2084, 2085]"
11-24-472-03760-509823,"['11-24-472-03760-509822', '11-24-472-03760-509820', '11-24-472-03760-509835']",3,1,[2086]
11-24-472-03760-509829,['11-24-472-03760-509828'],1,1,[2260]
11-24-472-03760-509832,"['11-24-472-03760-509833', '11-24-472-03760-509818']",2,1,[2085]
11-24-472-03761-509875,['11-24-472-03761-509874'],1,1,[1161]
11-24-472-03761-509892,"['11-24-472-03761-509900', '11-24-472-03761-509910', '11-24-472-03761-509909', '11-24-472-03761-509899']",4,1,[2096]
11-24-472-03763-510033,"['11-24-472-03763-510062', '11-24-472-03763-510034', '11-24-472-03763-510063']",3,1,[1994]
11-24-472-03764-510154,"['11-24-472-03761-509949', '11-24-472-03761-509947', '11-24-472-03761-509950', '11-24-472-03761-509946']",4,1,[1163]
11-24-472-03764-510158,"['11-24-472-03764-510171', '11-24-472-03764-510159', '11-24-472-03764-510170', '11-24-472-03764-510161']",4,1,[2217]
11-24-472-03764-510194,"['11-24-472-03764-510222', '11-24-472-03764-510218']",2,1,[1482]
11-24-472-03764-510225,['11-24-472-03764-510216'],1,1,[2263]
11-24-472-03764-510239,[],0,2,"[1284, 2404]"
11-24-472-03764-510244,"['11-24-472-03764-510269', '11-24-472-03764-510276']",2,2,"[1002, 1283]"
11-24-472-03764-510258,"['11-24-472-03764-510259', '11-24-472-03764-510286', '11-24-472-03765-510318']",3,1,[1493]
11-24-472-03764-510260,"['11-24-472-03764-510286', '11-24-472-03764-510222', '11-24-472-03765-510322', '11-24-472-03764-510259', '11-24-472-03764-510285', '11-24-472-03764-510252', '11-24-472-03764-510290', '11-24-472-03764-510253']",8,1,[2208]
11-24-472-03765-510318,"['11-24-472-03764-510259', '11-24-472-03764-510286', '11-24-472-03764-510258']",3,1,[1493]
11-24-472-03765-510323,"['11-24-472-03765-510344', '11-24-472-03765-510342', '11-24-472-03764-510308', '11-24-472-03765-510343', '11-24-472-03765-510341']",5,3,"[1124, 2231, 2408]"
11-24-472-03765-510324,"['11-24-472-03765-510325', '11-24-472-03765-510339']",2,1,[2244]
11-24-472-03765-510326,"['11-24-472-03765-510325', '11-24-472-03765-510321']",2,2,"[1174, 1178]"
11-24-472-03765-510355,"['11-24-472-03765-510332', '11-24-472-03765-510331', '11-24-472-03765-510360', '11-24-472-03765-510356', '11-24-472-03765-510357', '11-24-472-03765-510354', '11-24-472-03765-510330']",7,1,[2222]
11-24-472-03765-510357,"['11-24-472-03765-510332', '11-24-472-03765-510331', '11-24-472-03765-510360', '11-24-472-03765-510356', '11-24-472-03765-510355', '11-24-472-03765-510359', '11-24-472-03765-510358', '11-24-472-03765-510354', '11-24-472-03765-510330']",9,2,"[74, 2222]"
