shrid2,connected_villages,num_connected_villages,connected_populations,Town-Connected
11-24-468-03722-506432,"['11-24-468-03722-506435', '11-24-468-03722-506436', '11-24-468-03722-506433', '11-24-468-03722-506453']",4,,
11-24-468-03722-506433,"['11-24-468-03722-506435', '11-24-468-03722-506432', '11-24-468-03722-506436', '11-24-468-03722-506453']",4,,
11-24-468-03722-506434,"['11-24-468-03722-506435', '11-24-468-03722-506453']",2,,
11-24-468-03722-506435,"['11-24-468-03722-506432', '11-24-468-03722-506436', '11-24-468-03722-506434', '11-24-468-03722-506453', '11-24-468-03722-506433']",5,,
11-24-468-03722-506436,"['11-24-468-03722-506435', '11-24-468-03722-506432', '11-24-468-03722-506433', '11-24-468-03722-506453']",4,,
11-24-468-03722-506448,"['11-24-468-03722-506467', '11-24-468-03722-506480', '11-24-468-03722-506460']",3,,
11-24-468-03722-506453,"['11-24-468-03722-506435', '11-24-468-03722-506432', '11-24-468-03722-506436', '11-24-468-03722-506434', '11-24-468-03722-506433']",5,,
11-24-468-03722-506460,"['11-24-468-03722-506467', '11-24-468-03722-506448', '11-24-468-03722-506480']",3,,
11-24-468-03722-506467,"['11-24-468-03722-506448', '11-24-468-03722-506480', '11-24-468-03722-506460']",3,,
11-24-468-03722-506468,"['11-24-468-03722-506479', '11-24-468-03722-506469', '11-24-468-03722-506491']",3,,
11-24-468-03722-506469,"['11-24-468-03722-506468', '11-24-468-03722-506479', '11-24-468-03722-506491']",3,,
11-24-468-03722-506470,"['11-24-468-03727-506925', '11-24-468-03727-506926', '11-24-468-03722-506471', '11-24-468-03722-506476']",4,,
11-24-468-03722-506471,"['11-24-468-03727-506925', '11-24-468-03722-506470', '11-24-468-03727-506926', '11-24-468-03722-506476']",4,,
11-24-468-03722-506474,"['11-24-468-03722-506475', '11-24-468-03722-506476']",2,,
11-24-468-03722-506475,"['11-24-468-03722-506474', '11-24-468-03722-506476']",2,,
11-24-468-03722-506476,"['11-24-468-03727-506925', '11-24-468-03727-506926', '11-24-468-03722-506474', '11-24-468-03722-506475', '11-24-468-03722-506471', '11-24-468-03722-506470']",6,"['445.0', '793.0', '2265.0', '469.0', '783.0', '4398.0']",1.0
11-24-468-03722-506479,"['11-24-468-03722-506468', '11-24-468-03722-506491', '11-24-468-03722-506469']",3,,
11-24-468-03722-506480,"['11-24-468-03722-506467', '11-24-468-03722-506448', '11-24-468-03722-506460']",3,,
11-24-468-03722-506483,"['11-24-468-03722-506484', '11-24-468-03722-506487']",2,,
11-24-468-03722-506484,"['11-24-468-03722-506483', '11-24-468-03722-506487']",2,,
11-24-468-03722-506487,"['11-24-468-03722-506483', '11-24-468-03722-506484']",2,,
11-24-468-03722-506491,"['11-24-468-03722-506468', '11-24-468-03722-506479', '11-24-468-03722-506469']",3,,
11-24-468-03722-506498,"['11-24-468-03722-506522', '11-24-468-03722-506520', '11-24-468-03728-507067', '11-24-468-03722-506518', '11-24-468-03722-506517']",5,,
11-24-468-03722-506509,['11-24-468-03728-507057'],1,,
11-24-468-03722-506513,"['11-24-468-03728-507062', '11-24-468-03728-507058', '11-24-468-03728-507061', '11-24-468-03728-507072', '11-24-468-03728-507057', '11-24-468-03728-507071']",6,,
11-24-468-03722-506517,"['11-24-468-03722-506522', '11-24-468-03722-506520', '11-24-468-03722-506498', '11-24-468-03728-507067', '11-24-468-03722-506518']",5,,
11-24-468-03722-506518,"['11-24-468-03722-506522', '11-24-468-03722-506520', '11-24-468-03722-506498', '11-24-468-03728-507067', '11-24-468-03722-506517']",5,,
11-24-468-03722-506520,"['11-24-468-03722-506522', '11-24-468-03722-506498', '11-24-468-03728-507067', '11-24-468-03722-506518', '11-24-468-03722-506517']",5,,
11-24-468-03722-506522,"['11-24-468-03722-506520', '11-24-468-03722-506498', '11-24-468-03728-507067', '11-24-468-03722-506518', '11-24-468-03722-506517']",5,,
11-24-468-03722-506525,"['11-24-468-03728-507082', '11-24-468-03727-506948']",2,,
11-24-468-03723-506542,"['11-24-468-03723-506565', '11-24-468-03723-506564']",2,,
11-24-468-03723-506564,"['11-24-468-03723-506542', '11-24-468-03723-506565']",2,,
11-24-468-03723-506565,"['11-24-468-03723-506542', '11-24-468-03723-506564']",2,,
11-24-468-03723-506567,['11-24-468-03723-506592'],1,,
11-24-468-03723-506570,"['11-24-468-03723-506571', '11-24-468-03723-506589']",2,"['2571.0', '1835.0']",1.0
11-24-468-03723-506571,"['11-24-468-03723-506570', '11-24-468-03723-506589']",2,,
11-24-468-03723-506572,[],0,,
11-24-468-03723-506574,['11-24-468-03723-506586'],1,,
11-24-468-03723-506576,['11-24-468-03723-506580'],1,,
11-24-468-03723-506580,['11-24-468-03723-506576'],1,,
11-24-468-03723-506586,['11-24-468-03723-506574'],1,,
11-24-468-03723-506587,['11-24-468-03723-506604'],1,,
11-24-468-03723-506589,"['11-24-468-03723-506571', '11-24-468-03723-506570']",2,,
11-24-468-03723-506592,['11-24-468-03723-506567'],1,,
11-24-468-03723-506604,['11-24-468-03723-506587'],1,,
11-24-468-03723-506606,"['11-24-468-03723-506607', '11-24-468-03723-506609']",2,,
11-24-468-03723-506607,"['11-24-468-03723-506606', '11-24-468-03723-506609']",2,,
11-24-468-03723-506609,"['11-24-468-03723-506606', '11-24-468-03723-506607']",2,,
11-24-468-03723-506612,"['11-24-468-03723-506618', '11-24-468-03723-506619', '11-24-468-03723-506613', '11-24-468-03723-506621', '11-24-468-03724-506679', '11-24-468-03723-506620']",6,,
11-24-468-03723-506613,"['11-24-468-03723-506618', '11-24-468-03723-506619', '11-24-468-03723-506621', '11-24-468-03723-506612', '11-24-468-03723-506620']",5,,
11-24-468-03723-506618,"['11-24-468-03723-506619', '11-24-468-03723-506613', '11-24-468-03723-506621', '11-24-468-03724-506679', '11-24-468-03723-506612', '11-24-468-03723-506620']",6,,
11-24-468-03723-506619,"['11-24-468-03723-506618', '11-24-468-03723-506613', '11-24-468-03723-506621', '11-24-468-03724-506679', '11-24-468-03723-506612', '11-24-468-03723-506620']",6,,
11-24-468-03723-506620,"['11-24-468-03723-506622', '11-24-468-03723-506618', '11-24-468-03723-506619', '11-24-468-03723-506613', '11-24-468-03723-506621', '11-24-468-03723-506612']",6,,
11-24-468-03723-506621,"['11-24-468-03723-506622', '11-24-468-03723-506618', '11-24-468-03723-506619', '11-24-468-03723-506613', '11-24-468-03723-506612', '11-24-468-03723-506620']",6,,
11-24-468-03723-506622,"['11-24-468-03723-506621', '11-24-468-03723-506620']",2,"['1668.0', '913.0']",0.0
11-24-468-03724-506629,[],0,[nan],0.0
11-24-468-03724-506638,[],0,[nan],0.0
11-24-468-03724-506644,[],0,,
11-24-468-03724-506679,"['11-24-468-03724-506680', '11-24-468-03723-506618', '11-24-468-03723-506619', '11-24-468-03724-506682', '11-24-468-03723-506612']",5,,
11-24-468-03724-506680,"['11-24-468-03724-506679', '11-24-468-03724-506682']",2,,
11-24-468-03724-506682,"['11-24-468-03724-506680', '11-24-468-03724-506679']",2,,
11-24-468-03724-506688,"['11-24-468-03724-506691', '11-24-468-03724-506690']",2,"['322.0', '989.0']",0.0
11-24-468-03724-506690,"['11-24-468-03724-506691', '11-24-468-03724-506688']",2,,
11-24-468-03724-506691,"['11-24-468-03724-506690', '11-24-468-03724-506688']",2,,
11-24-468-03725-506694,"['11-24-468-03725-506699', '11-24-468-03725-506700', '11-24-468-03725-506696']",3,,
11-24-468-03725-506696,"['11-24-468-03725-506694', '11-24-468-03725-506699', '11-24-468-03725-506700']",3,,
11-24-468-03725-506699,"['11-24-468-03725-506694', '11-24-468-03725-506700', '11-24-468-03725-506696']",3,"['32.0', '4244.0', '688.0']",1.0
11-24-468-03725-506700,"['11-24-468-03725-506694', '11-24-468-03725-506699', '11-24-468-03725-506696']",3,,
11-24-468-03725-506702,[],0,[nan],0.0
11-24-468-03725-506713,['11-24-468-03725-506715'],1,['7258.0'],1.0
11-24-468-03725-506715,"['11-24-468-03725-506713', '11-24-468-03726-506873', '11-24-468-03726-506847']",3,,
11-24-468-03725-506721,['11-24-468-03725-506722'],1,,
11-24-468-03725-506722,"['11-24-468-03725-506721', '11-24-468-03725-506723']",2,,
11-24-468-03725-506723,"['11-24-468-03725-506724', '11-24-468-03725-506722']",2,,
11-24-468-03725-506724,['11-24-468-03725-506723'],1,,
11-24-468-03725-506727,[],0,,
11-24-468-03725-506732,"['11-24-468-03725-506733', '11-24-468-03725-506742', '11-24-468-03725-506740', '11-24-468-03725-506741']",4,,
